MODEL,SCENARIO,REGION,variable,DATABASE,growthmeasure,percent
AIM-Enduse 12.1,EMF27-Base-LimTech,REF,pcgdpmer,AR5,catchup40,5.213557063587738
AIM-Enduse 12.1,EMF27-Base-LimTech,World,pcgdpmer,AR5,catchup40,2.200518264335223
AIM-Enduse 12.1,EMF27-Base-LowEI,ASIA,pcgdpmer,AR5,catchup40,2.966168493177133
AIM-Enduse 12.1,EMF27-Base-LowEI,LAM,pcgdpmer,AR5,catchup40,4.5187768159110355
AIM-Enduse 12.1,EMF27-Base-LowEI,MAF,pcgdpmer,AR5,catchup40,4.421923802212763
AIM-Enduse 12.1,EMF27-Base-LowEI,OECD90,pcgdpmer,AR5,catchup40,1.592167771825197
AIM-Enduse 12.1,EMF27-Base-LowEI,REF,pcgdpmer,AR5,catchup40,5.213557063587738
AIM-Enduse 12.1,EMF27-Base-LowEI,World,pcgdpmer,AR5,catchup40,2.200518264335223
AIM-Enduse 12.1,EMF27-Base-NucOff,ASIA,pcgdpmer,AR5,catchup40,2.966168493177133
AIM-Enduse 12.1,EMF27-Base-NucOff,LAM,pcgdpmer,AR5,catchup40,4.5187768159110355
AIM-Enduse 12.1,EMF27-Base-NucOff,MAF,pcgdpmer,AR5,catchup40,4.421923802212763
AIM-Enduse 12.1,EMF27-Base-NucOff,OECD90,pcgdpmer,AR5,catchup40,1.592167771825197
AIM-Enduse 12.1,EMF27-Base-NucOff,REF,pcgdpmer,AR5,catchup40,5.213557063587738
AIM-Enduse 12.1,EMF27-Base-NucOff,World,pcgdpmer,AR5,catchup40,2.200518264335223
AIM-Enduse[Backcast] 1.0,LIMITS-Base,ASIA,pcgdpmer,AR5,catchup40,4.572716111094276
AIM-Enduse[Backcast] 1.0,LIMITS-Base,LAM,pcgdpmer,AR5,catchup40,4.617157342973986
AIM-Enduse[Backcast] 1.0,LIMITS-Base,MAF,pcgdpmer,AR5,catchup40,4.038974400638323
AIM-Enduse[Backcast] 1.0,LIMITS-Base,OECD90,pcgdpmer,AR5,catchup40,1.8137397467073257
AIM-Enduse[Backcast] 1.0,LIMITS-Base,REF,pcgdpmer,AR5,catchup40,4.290100063928114
AIM-Enduse[Backcast] 1.0,LIMITS-Base,World,pcgdpmer,AR5,catchup40,2.732228350487995
BET 1.5,EMF27-Base-Conv,ASIA,pcgdpmer,AR5,catchup40,4.218837093536543
BET 1.5,EMF27-Base-Conv,LAM,pcgdpmer,AR5,catchup40,4.706708427016903
BET 1.5,EMF27-Base-Conv,MAF,pcgdpmer,AR5,catchup40,4.1637076641198165
BET 1.5,EMF27-Base-Conv,OECD90,pcgdpmer,AR5,catchup40,1.7760537236655451
BET 1.5,EMF27-Base-Conv,REF,pcgdpmer,AR5,catchup40,7.134673123707097
BET 1.5,EMF27-Base-Conv,World,pcgdpmer,AR5,catchup40,2.8626792519519473
BET 1.5,EMF27-Base-EERE,ASIA,pcgdpmer,AR5,catchup40,4.404952434014948
BET 1.5,EMF27-Base-EERE,LAM,pcgdpmer,AR5,catchup40,4.77879070012745
BET 1.5,EMF27-Base-EERE,MAF,pcgdpmer,AR5,catchup40,4.909490328550681
BET 1.5,EMF27-Base-EERE,OECD90,pcgdpmer,AR5,catchup40,1.8393706745996876
BET 1.5,EMF27-Base-EERE,REF,pcgdpmer,AR5,catchup40,6.972837495131249
BET 1.5,EMF27-Base-EERE,World,pcgdpmer,AR5,catchup40,3.0109179726914093
BET 1.5,EMF27-Base-FullTech,ASIA,pcgdpmer,AR5,catchup40,4.2172416339653385
BET 1.5,EMF27-Base-FullTech,LAM,pcgdpmer,AR5,catchup40,4.7078924612581465
BET 1.5,EMF27-Base-FullTech,MAF,pcgdpmer,AR5,catchup40,4.152142086905598
BET 1.5,EMF27-Base-FullTech,OECD90,pcgdpmer,AR5,catchup40,1.7747570969527195
BET 1.5,EMF27-Base-FullTech,REF,pcgdpmer,AR5,catchup40,7.185208351815343
BET 1.5,EMF27-Base-FullTech,World,pcgdpmer,AR5,catchup40,2.8631667657713677
BET 1.5,EMF27-Base-LimBio,ASIA,pcgdpmer,AR5,catchup40,4.218812034301624
BET 1.5,EMF27-Base-LimBio,LAM,pcgdpmer,AR5,catchup40,4.70676331782561
BET 1.5,EMF27-Base-LimBio,MAF,pcgdpmer,AR5,catchup40,4.1625317033802665
BET 1.5,EMF27-Base-LimBio,OECD90,pcgdpmer,AR5,catchup40,1.775840443178869
BET 1.5,EMF27-Base-LimBio,REF,pcgdpmer,AR5,catchup40,7.138412453168338
BET 1.5,EMF27-Base-LimBio,World,pcgdpmer,AR5,catchup40,2.862659667783385
BET 1.5,EMF27-Base-LimSW,ASIA,pcgdpmer,AR5,catchup40,4.216445278942302
BET 1.5,EMF27-Base-LimSW,LAM,pcgdpmer,AR5,catchup40,4.707252857965924
BET 1.5,EMF27-Base-LimSW,MAF,pcgdpmer,AR5,catchup40,4.151342939045622
BET 1.5,EMF27-Base-LimSW,OECD90,pcgdpmer,AR5,catchup40,1.7758016508010255
BET 1.5,EMF27-Base-LimSW,REF,pcgdpmer,AR5,catchup40,7.182276477101842
BET 1.5,EMF27-Base-LimSW,World,pcgdpmer,AR5,catchup40,2.863096739525633
BET 1.5,EMF27-Base-LimTech,ASIA,pcgdpmer,AR5,catchup40,4.40470402180086
BET 1.5,EMF27-Base-LimTech,LAM,pcgdpmer,AR5,catchup40,4.830126600009569
BET 1.5,EMF27-Base-LimTech,MAF,pcgdpmer,AR5,catchup40,4.720726794373476
BET 1.5,EMF27-Base-LimTech,OECD90,pcgdpmer,AR5,catchup40,1.8401298793357879
BET 1.5,EMF27-Base-LimTech,REF,pcgdpmer,AR5,catchup40,7.1492502721125275
BET 1.5,EMF27-Base-LimTech,World,pcgdpmer,AR5,catchup40,3.010571507803484
BET 1.5,EMF27-Base-LowEI,ASIA,pcgdpmer,AR5,catchup40,4.404810434571181
BET 1.5,EMF27-Base-LowEI,LAM,pcgdpmer,AR5,catchup40,4.833649672914885
BET 1.5,EMF27-Base-LowEI,MAF,pcgdpmer,AR5,catchup40,4.677134123503982
BET 1.5,EMF27-Base-LowEI,OECD90,pcgdpmer,AR5,catchup40,1.8404251720932077
BET 1.5,EMF27-Base-LowEI,REF,pcgdpmer,AR5,catchup40,7.210217189324481
BET 1.5,EMF27-Base-LowEI,World,pcgdpmer,AR5,catchup40,3.011025289247416
BET 1.5,EMF27-Base-NucOff,ASIA,pcgdpmer,AR5,catchup40,4.217254512912866
BET 1.5,EMF27-Base-NucOff,LAM,pcgdpmer,AR5,catchup40,4.706104202895317
BET 1.5,EMF27-Base-NucOff,MAF,pcgdpmer,AR5,catchup40,4.158953787564982
BET 1.5,EMF27-Base-NucOff,OECD90,pcgdpmer,AR5,catchup40,1.775795027025844
BET 1.5,EMF27-Base-NucOff,REF,pcgdpmer,AR5,catchup40,7.162600051566427
BET 1.5,EMF27-Base-NucOff,World,pcgdpmer,AR5,catchup40,2.862971087852229
DNE21 V.11,AME Reference,ASIA,pcgdpmer,AR5,catchup40,3.731032384089952
DNE21 V.11,AME Reference,LAM,pcgdpmer,AR5,catchup40,3.0541575830600105
DNE21 V.11,AME Reference,MAF,pcgdpmer,AR5,catchup40,3.3790621579988454
DNE21 V.11,AME Reference,OECD90,pcgdpmer,AR5,catchup40,1.1609769918525783
DNE21 V.11,AME Reference,REF,pcgdpmer,AR5,catchup40,5.959299792103744
DNE21 V.11,AME Reference,World,pcgdpmer,AR5,catchup40,2.097273885376048
DNE21 V.12,AMPERE2-Base-FullTech-OPT,ASIA,pcgdpmer,AR5,catchup40,4.536524990707669
DNE21 V.12,AMPERE2-Base-FullTech-OPT,LAM,pcgdpmer,AR5,catchup40,4.923465835978642
DNE21 V.12,AMPERE2-Base-FullTech-OPT,MAF,pcgdpmer,AR5,catchup40,4.120450994405257
DNE21 V.12,AMPERE2-Base-FullTech-OPT,OECD90,pcgdpmer,AR5,catchup40,1.8123013538722677
DNE21 V.12,AMPERE2-Base-FullTech-OPT,REF,pcgdpmer,AR5,catchup40,4.291805088706381
DNE21 V.12,AMPERE2-Base-FullTech-OPT,World,pcgdpmer,AR5,catchup40,2.740027275247803
DNE21 V.12,AMPERE2-Base-LowEI-OPT,ASIA,pcgdpmer,AR5,catchup40,4.536524990707669
DNE21 V.12,AMPERE2-Base-LowEI-OPT,LAM,pcgdpmer,AR5,catchup40,4.923465835978642
DNE21 V.12,AMPERE2-Base-LowEI-OPT,MAF,pcgdpmer,AR5,catchup40,4.120450994405257
DNE21 V.12,AMPERE2-Base-LowEI-OPT,OECD90,pcgdpmer,AR5,catchup40,1.8123013538722677
DNE21 V.12,AMPERE2-Base-LowEI-OPT,REF,pcgdpmer,AR5,catchup40,4.291805088706381
DNE21 V.12,AMPERE2-Base-LowEI-OPT,World,pcgdpmer,AR5,catchup40,2.740027275247803
DNE21 V.12,AMPERE2-Base-NucOff-OPT,ASIA,pcgdpmer,AR5,catchup40,4.536524990707669
DNE21 V.12,AMPERE2-Base-NucOff-OPT,LAM,pcgdpmer,AR5,catchup40,4.923465835978642
DNE21 V.12,AMPERE2-Base-NucOff-OPT,MAF,pcgdpmer,AR5,catchup40,4.120450994405257
DNE21 V.12,AMPERE2-Base-NucOff-OPT,OECD90,pcgdpmer,AR5,catchup40,1.8123013538722677
DNE21 V.12,AMPERE2-Base-NucOff-OPT,REF,pcgdpmer,AR5,catchup40,4.291805088706381
DNE21 V.12,AMPERE2-Base-NucOff-OPT,World,pcgdpmer,AR5,catchup40,2.740027275247803
DNE21 V.12,AMPERE3-Base,ASIA,pcgdpmer,AR5,catchup40,4.536524990707669
DNE21 V.12,AMPERE3-Base,LAM,pcgdpmer,AR5,catchup40,4.923465835978642
DNE21 V.12,AMPERE3-Base,MAF,pcgdpmer,AR5,catchup40,4.120450994405257
DNE21 V.12,AMPERE3-Base,OECD90,pcgdpmer,AR5,catchup40,1.8123013538722677
DNE21 V.12,AMPERE3-Base,REF,pcgdpmer,AR5,catchup40,4.291805088706381
DNE21 V.12,AMPERE3-Base,World,pcgdpmer,AR5,catchup40,2.740027275247803
DNE21 V.12,Carbon tax 0,ASIA,pcgdpmer,AR5,catchup40,NA
DNE21 V.12,Carbon tax 0,LAM,pcgdpmer,AR5,catchup40,NA
DNE21 V.12,Carbon tax 0,MAF,pcgdpmer,AR5,catchup40,NA
DNE21 V.12,Carbon tax 0,OECD90,pcgdpmer,AR5,catchup40,NA
DNE21 V.12,Carbon tax 0,REF,pcgdpmer,AR5,catchup40,NA
DNE21 V.12,Carbon tax 0,World,pcgdpmer,AR5,catchup40,NA
EC-IAM 2012,EMF27-Base-Conv,ASIA,pcgdpmer,AR5,catchup40,3.1173112796945723
EC-IAM 2012,EMF27-Base-Conv,LAM,pcgdpmer,AR5,catchup40,3.458430076212701
EC-IAM 2012,EMF27-Base-Conv,OECD90,pcgdpmer,AR5,catchup40,2.168057321022079
EC-IAM 2012,EMF27-Base-Conv,REF,pcgdpmer,AR5,catchup40,3.572225406824167
EC-IAM 2012,EMF27-Base-Conv,World,pcgdpmer,AR5,catchup40,1.7047746586360728
EC-IAM 2012,EMF27-Base-EERE,ASIA,pcgdpmer,AR5,catchup40,3.2800740784108045
EC-IAM 2012,EMF27-Base-EERE,LAM,pcgdpmer,AR5,catchup40,3.516877745840209
EC-IAM 2012,EMF27-Base-EERE,OECD90,pcgdpmer,AR5,catchup40,2.1914026635011097
EC-IAM 2012,EMF27-Base-EERE,REF,pcgdpmer,AR5,catchup40,3.6160205628109168
EC-IAM 2012,EMF27-Base-EERE,World,pcgdpmer,AR5,catchup40,1.7585075914528319
EC-IAM 2012,EMF27-Base-FullTech,ASIA,pcgdpmer,AR5,catchup40,3.11787448609417
EC-IAM 2012,EMF27-Base-FullTech,LAM,pcgdpmer,AR5,catchup40,3.458685376184895
EC-IAM 2012,EMF27-Base-FullTech,OECD90,pcgdpmer,AR5,catchup40,2.168426390935163
EC-IAM 2012,EMF27-Base-FullTech,REF,pcgdpmer,AR5,catchup40,3.5686531798905676
EC-IAM 2012,EMF27-Base-FullTech,World,pcgdpmer,AR5,catchup40,1.704877901004656
EC-IAM 2012,EMF27-Base-LimBio,ASIA,pcgdpmer,AR5,catchup40,3.11757173362527
EC-IAM 2012,EMF27-Base-LimBio,LAM,pcgdpmer,AR5,catchup40,3.458581934622077
EC-IAM 2012,EMF27-Base-LimBio,OECD90,pcgdpmer,AR5,catchup40,2.1679295333364994
EC-IAM 2012,EMF27-Base-LimBio,REF,pcgdpmer,AR5,catchup40,3.5681943212757252
EC-IAM 2012,EMF27-Base-LimBio,World,pcgdpmer,AR5,catchup40,1.7046494119750215
EC-IAM 2012,EMF27-Base-LimSW,ASIA,pcgdpmer,AR5,catchup40,3.117656153633677
EC-IAM 2012,EMF27-Base-LimSW,LAM,pcgdpmer,AR5,catchup40,3.458529300704898
EC-IAM 2012,EMF27-Base-LimSW,OECD90,pcgdpmer,AR5,catchup40,2.168409981924853
EC-IAM 2012,EMF27-Base-LimSW,REF,pcgdpmer,AR5,catchup40,3.5725901047112654
EC-IAM 2012,EMF27-Base-LimSW,World,pcgdpmer,AR5,catchup40,1.7048798894978479
EC-IAM 2012,EMF27-Base-LimTech,ASIA,pcgdpmer,AR5,catchup40,3.1173394315367813
EC-IAM 2012,EMF27-Base-LimTech,LAM,pcgdpmer,AR5,catchup40,3.458205552487742
EC-IAM 2012,EMF27-Base-LimTech,OECD90,pcgdpmer,AR5,catchup40,2.1655215114549424
EC-IAM 2012,EMF27-Base-LimTech,REF,pcgdpmer,AR5,catchup40,3.6088448636996198
EC-IAM 2012,EMF27-Base-LimTech,World,pcgdpmer,AR5,catchup40,1.7035878308427148
EC-IAM 2012,EMF27-Base-LowEI,ASIA,pcgdpmer,AR5,catchup40,3.2800429900231087
EC-IAM 2012,EMF27-Base-LowEI,LAM,pcgdpmer,AR5,catchup40,3.5168362175374392
EC-IAM 2012,EMF27-Base-LowEI,OECD90,pcgdpmer,AR5,catchup40,2.1918571766237416
EC-IAM 2012,EMF27-Base-LowEI,REF,pcgdpmer,AR5,catchup40,3.6146533105491976
EC-IAM 2012,EMF27-Base-LowEI,World,pcgdpmer,AR5,catchup40,1.758727993598637
EC-IAM 2012,EMF27-Base-NucOff,ASIA,pcgdpmer,AR5,catchup40,3.1177007858836436
EC-IAM 2012,EMF27-Base-NucOff,LAM,pcgdpmer,AR5,catchup40,3.4586693111048694
EC-IAM 2012,EMF27-Base-NucOff,OECD90,pcgdpmer,AR5,catchup40,2.1663632200921668
EC-IAM 2012,EMF27-Base-NucOff,REF,pcgdpmer,AR5,catchup40,3.5824830394553633
EC-IAM 2012,EMF27-Base-NucOff,World,pcgdpmer,AR5,catchup40,1.7039429057422417
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,ASIA,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,LAM,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,MAF,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,OECD90,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,REF,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-Conv,World,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,ASIA,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,LAM,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,MAF,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,OECD90,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,REF,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-FullTech,World,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,ASIA,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,LAM,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,MAF,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,OECD90,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,REF,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimBio,World,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,ASIA,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,LAM,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,MAF,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,OECD90,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,REF,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-LimSW,World,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,ASIA,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,LAM,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,MAF,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,OECD90,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,REF,pcgdpmer,AR5,catchup40,NA
ENV-Linkages (WEO2012 calibration),EMF27-Base-NucOff,World,pcgdpmer,AR5,catchup40,NA
FARM_3.0,EMF27-Base-Conv,ASIA,pcgdpmer,AR5,catchup40,4.078337103813183
FARM_3.0,EMF27-Base-Conv,LAM,pcgdpmer,AR5,catchup40,3.9923519046596514
FARM_3.0,EMF27-Base-Conv,MAF,pcgdpmer,AR5,catchup40,3.2270559646389096
FARM_3.0,EMF27-Base-Conv,OECD90,pcgdpmer,AR5,catchup40,1.6418649561605594
FARM_3.0,EMF27-Base-Conv,REF,pcgdpmer,AR5,catchup40,3.3760195400373174
FARM_3.0,EMF27-Base-Conv,World,pcgdpmer,AR5,catchup40,2.1884169656921775
FARM_3.0,EMF27-Base-EERE,ASIA,pcgdpmer,AR5,catchup40,4.536753420826507
FARM_3.0,EMF27-Base-EERE,LAM,pcgdpmer,AR5,catchup40,4.207219054716949
FARM_3.0,EMF27-Base-EERE,MAF,pcgdpmer,AR5,catchup40,3.7309703694504672
FARM_3.0,EMF27-Base-EERE,OECD90,pcgdpmer,AR5,catchup40,1.7399165912272112
FARM_3.0,EMF27-Base-EERE,REF,pcgdpmer,AR5,catchup40,4.030509435474
FARM_3.0,EMF27-Base-EERE,World,pcgdpmer,AR5,catchup40,2.4594261636976182
FARM_3.0,EMF27-Base-FullTech,ASIA,pcgdpmer,AR5,catchup40,4.080018198256337
FARM_3.0,EMF27-Base-FullTech,LAM,pcgdpmer,AR5,catchup40,3.9949733812457877
FARM_3.0,EMF27-Base-FullTech,MAF,pcgdpmer,AR5,catchup40,3.226942980785076
FARM_3.0,EMF27-Base-FullTech,OECD90,pcgdpmer,AR5,catchup40,1.6422750616879458
FARM_3.0,EMF27-Base-FullTech,REF,pcgdpmer,AR5,catchup40,3.3768257199088083
FARM_3.0,EMF27-Base-FullTech,World,pcgdpmer,AR5,catchup40,2.1893536397371265
FARM_3.0,EMF27-Base-LimBio,ASIA,pcgdpmer,AR5,catchup40,4.078546497602957
FARM_3.0,EMF27-Base-LimBio,LAM,pcgdpmer,AR5,catchup40,3.992511798297488
FARM_3.0,EMF27-Base-LimBio,MAF,pcgdpmer,AR5,catchup40,3.22717673400332
FARM_3.0,EMF27-Base-LimBio,OECD90,pcgdpmer,AR5,catchup40,1.641974196194813
FARM_3.0,EMF27-Base-LimBio,REF,pcgdpmer,AR5,catchup40,3.3761953758197585
FARM_3.0,EMF27-Base-LimBio,World,pcgdpmer,AR5,catchup40,2.188563568296251
FARM_3.0,EMF27-Base-LowEI,ASIA,pcgdpmer,AR5,catchup40,4.538647553666131
FARM_3.0,EMF27-Base-LowEI,LAM,pcgdpmer,AR5,catchup40,4.207673182817405
FARM_3.0,EMF27-Base-LowEI,MAF,pcgdpmer,AR5,catchup40,3.731328798696888
FARM_3.0,EMF27-Base-LowEI,OECD90,pcgdpmer,AR5,catchup40,1.7415678920597992
FARM_3.0,EMF27-Base-LowEI,REF,pcgdpmer,AR5,catchup40,4.037336006738722
FARM_3.0,EMF27-Base-LowEI,World,pcgdpmer,AR5,catchup40,2.4611860722223526
GCAM 2.0,AME Reference,ASIA,pcgdpmer,AR5,catchup40,3.2463896717190455
GCAM 2.0,AME Reference,LAM,pcgdpmer,AR5,catchup40,2.063906296460928
GCAM 2.0,AME Reference,MAF,pcgdpmer,AR5,catchup40,2.2717829606723647
GCAM 2.0,AME Reference,OECD90,pcgdpmer,AR5,catchup40,1.274492621274337
GCAM 2.0,AME Reference,REF,pcgdpmer,AR5,catchup40,3.201669674577875
GCAM 2.0,AME Reference,World,pcgdpmer,AR5,catchup40,1.759329504380354
GCAM 3.0,AMPERE2-Base-Conv-OPT,ASIA,pcgdpmer,AR5,catchup40,4.563242909874399
GCAM 3.0,AMPERE2-Base-Conv-OPT,LAM,pcgdpmer,AR5,catchup40,4.934400391342212
GCAM 3.0,AMPERE2-Base-Conv-OPT,MAF,pcgdpmer,AR5,catchup40,4.038877606707306
GCAM 3.0,AMPERE2-Base-Conv-OPT,OECD90,pcgdpmer,AR5,catchup40,1.773038225560291
GCAM 3.0,AMPERE2-Base-Conv-OPT,REF,pcgdpmer,AR5,catchup40,4.295459567990386
GCAM 3.0,AMPERE2-Base-Conv-OPT,World,pcgdpmer,AR5,catchup40,2.7263078520368116
GCAM 3.0,AMPERE2-Base-EERE-OPT,ASIA,pcgdpmer,AR5,catchup40,4.563242909874399
GCAM 3.0,AMPERE2-Base-EERE-OPT,LAM,pcgdpmer,AR5,catchup40,4.934400391342212
GCAM 3.0,AMPERE2-Base-EERE-OPT,MAF,pcgdpmer,AR5,catchup40,4.038877606707306
GCAM 3.0,AMPERE2-Base-EERE-OPT,OECD90,pcgdpmer,AR5,catchup40,1.773038225560291
GCAM 3.0,AMPERE2-Base-EERE-OPT,REF,pcgdpmer,AR5,catchup40,4.295459567990386
GCAM 3.0,AMPERE2-Base-EERE-OPT,World,pcgdpmer,AR5,catchup40,2.7263078520368116
GCAM 3.0,AMPERE2-Base-FullTech-OPT,ASIA,pcgdpmer,AR5,catchup40,4.563242909874399
GCAM 3.0,AMPERE2-Base-FullTech-OPT,LAM,pcgdpmer,AR5,catchup40,4.934400391342212
GCAM 3.0,AMPERE2-Base-FullTech-OPT,MAF,pcgdpmer,AR5,catchup40,4.038877606707306
GCAM 3.0,AMPERE2-Base-FullTech-OPT,OECD90,pcgdpmer,AR5,catchup40,1.773038225560291
GCAM 3.0,AMPERE2-Base-FullTech-OPT,REF,pcgdpmer,AR5,catchup40,4.295459567990386
GCAM 3.0,AMPERE2-Base-FullTech-OPT,World,pcgdpmer,AR5,catchup40,2.7263078520368116
GCAM 3.0,AMPERE2-Base-LimBio-OPT,ASIA,pcgdpmer,AR5,catchup40,4.563242909874399
GCAM 3.0,AMPERE2-Base-LimBio-OPT,LAM,pcgdpmer,AR5,catchup40,4.934400391342212
GCAM 3.0,AMPERE2-Base-LimBio-OPT,MAF,pcgdpmer,AR5,catchup40,4.038877606707306
GCAM 3.0,AMPERE2-Base-LimBio-OPT,OECD90,pcgdpmer,AR5,catchup40,1.773038225560291
